model,weight_decay,dropout_rate,learning_rate,epoch,metric,value
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,3,Train/precision@10,0.03210550174117088
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,4,Train/precision@10,0.034004248678684235
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,0,Train/precision@20,0.012086874805390835
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,1,Train/precision@20,0.017719125375151634
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,2,Train/precision@20,0.020111875608563423
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,3,Train/precision@20,0.02154487557709217
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,4,Train/precision@20,0.022579750046133995
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,0,Train/recall@1,0.03446250036358833
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,1,Train/recall@1,0.05621499940752983
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,2,Train/recall@1,0.06740999966859818
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,3,Train/recall@1,0.07467249780893326
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,4,Train/recall@1,0.08092249929904938
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,0,Train/recall@5,0.11096250265836716
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,1,Train/recall@5,0.17509500682353973
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,2,Train/recall@5,0.20477250218391418
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,3,Train/recall@5,0.22514000535011292
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,4,Train/recall@5,0.23990750312805176
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,0,Train/recall@10,0.1676425039768219
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,1,Train/recall@10,0.25593501329421997
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,2,Train/recall@10,0.2961525022983551
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,3,Train/recall@10,0.32105499505996704
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,4,Train/recall@10,0.34004250168800354
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,0,Train/recall@20,0.241737499833107
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,1,Train/recall@20,0.3543825149536133
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,2,Train/recall@20,0.40223750472068787
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,3,Train/recall@20,0.4308975040912628
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,4,Train/recall@20,0.4515950083732605
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,0,Train/mrr@1,0.03446250036358833
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,1,Train/mrr@1,0.05621499940752983
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,2,Train/mrr@1,0.06740999966859818
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,3,Train/mrr@1,0.07467249780893326
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,4,Train/mrr@1,0.08092249929904938
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,0,Train/mrr@5,0.060637541115283966
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,1,Train/mrr@5,0.09719099849462509
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,2,Train/mrr@5,0.115170419216156
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,3,Train/mrr@5,0.12707862257957458
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,4,Train/mrr@5,0.13639533519744873
